Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund
Bank of Honolulu,Honolulu,Hawaii,21029,Bank of the Orient,2000-10-13,4645
The National State Bank of Metropolis,Metropolis,Illinois,3815,Banterra Bank of Marion,2000-12-14,4646
First Alliance Bank & Trust Co.,Manchester,New Hampshire,34264,Southern New Hampshire Bank & Trust,2001-02-02,4647
Malta National Bank,Malta,Ohio,6629,North Valley Bank,2001-05-03,4648
"Superior Bank, FSB",Hinsdale,Illinois,32646,"Superior Federal, FSB",2001-07-27,6004
Sinclair National Bank,Gravette,Arkansas,34248,Delta Trust & Bank,2001-09-07,4649
"Hamilton Bank, N.A.",Miami,Florida,24382,Israel Discount Bank of New York,2002-01-11,4650
Bank of Sierra Blanca,Sierra Blanca,Texas,22002,The Security State Bank of Pecos,2002-01-18,4651
Oakwood Deposit Bank Co.,Oakwood,Ohio,8966,The State Bank & Trust Company,2002-02-01,4652
"NextBank, NA",Phoenix,Arizona,22314,No Acquirer,2002-02-07,4653
Net First National Bank,Boca Raton,Florida,26652,Bank Leumi USA,2002-03-01,4654
New Century Bank,Shelby Township,Michigan,34979,No Acquirer,2002-03-28,4655
Connecticut Bank of Commerce,Stamford,Connecticut,19183,Hudson United Bank,2002-06-26,4656
Universal Federal Savings Bank,Chicago,Illinois,29355,Chicago Community Bank,2002-06-27,6005
AmTrade International Bank,Atlanta,Georgia,33784,No Acquirer,2002-09-30,4657
Bank of Alamo,Alamo,Tennessee,9961,No Acquirer,2002-11-08,4658
Farmers Bank & Trust of Cheneyville,Cheneyville,Louisiana,16445,Sabine State Bank & Trust,2002-12-17,4659
Southern Pacific Bank,Torrance,California,27094,Beal Bank,2003-02-07,4660
First National Bank of Blanchardville,Blanchardville,Wisconsin,11639,The Park Bank,2003-05-09,4661
Pulaski Savings Bank,Philadelphia,Pennsylvania,27203,Earthstar Bank,2003-11-14,4662
Dollar Savings Bank,Newark,New Jersey,31330,No Acquirer,2004-02-14,6006
Guaranty National Bank of Tallahassee,Tallahassee,Florida,26838,Hancock Bank of Florida,2004-03-12,4663
Reliance Bank,White Plains,New York,26778,Union State Bank,2004-03-19,4664
Bank of Ephraim,Ephraim,Utah,1249,Far West Bank,2004-06-25,4665
Metropolitan Savings Bank,Pittsburgh,Pennsylvania,35353,Allegheny Valley Bank of Pittsburgh,2007-02-02,10000
NetBank,Alpharetta,Georgia,32575,ING DIRECT,2007-09-28,10001
Miami Valley Bank,Lakeview,Ohio,16848,The Citizens Banking Company,2007-10-04,10002
Douglass National Bank,Kansas City,Missouri,24660,Liberty Bank and Trust Company,2008-01-25,10003
Hume Bank,Hume,Missouri,1971,Security Bank,2008-03-07,10004
"ANB Financial, NA",Bentonville,Arkansas,33901,Pulaski Bank and Trust Company,2008-05-09,10005
"First Integrity Bank, NA",Staples,Minnesota,12736,First International Bank and Trust,2008-05-30,10006
IndyMac Bank,Pasadena,California,29730,"OneWest Bank, FSB",2008-07-11,10007
First National Bank of Nevada,Reno,Nevada,27011,Mutual of Omaha Bank,2008-07-25,10008
"First Heritage Bank, NA",Newport Beach,California,57961,Mutual of Omaha Bank,2008-07-25,10009
First Priority Bank,Bradenton,Florida,57523,SunTrust Bank,2008-08-01,10010
The Columbian Bank and Trust Company,Topeka,Kansas,22728,Citizens Bank & Trust,2008-08-22,10011
Integrity Bank,Alpharetta,Georgia,35469,Regions Bank,2008-08-29,10012
Silver State Bank,Henderson,Nevada,34194,Nevada State Bank,2008-09-05,10013
Ameribank,Northfork,West Virginia,6782,"The Citizens Savings Bank ********** Pioneer Community Bank, Inc.",2008-09-19,10014
Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),Henderson,Nevada,32633,JP Morgan Chase Bank,2008-09-25,10015
Meridian Bank,Eldred,Illinois,13789,National Bank,2008-10-10,10017
Main Street Bank,Northville,Michigan,57654,Monroe Bank & Trust,2008-10-10,10016
Alpha Bank & Trust,Alpharetta,Georgia,58241,"Stearns Bank, N.A.",2008-10-24,10018
Freedom Bank,Bradenton,Florida,57930,Fifth Third Bank,2008-10-31,10019
Security Pacific Bank,Los Angeles,California,23595,Pacific Western Bank,2008-11-07,10020
"Franklin Bank, SSB",Houston,Texas,26870,Prosperity Bank,2008-11-07,10021
The Community Bank,Loganville,Georgia,16490,Bank of Essex,2008-11-21,10022
"Downey Savings and Loan Association, F.A.",Newport Beach,California,30968,"U.S. Bank, N.A.",2008-11-21,10023
PFF Bank & Trust,Pomona,California,28344,"U.S. Bank, N.A.",2008-11-21,10024
First Georgia Community Bank,Jackson,Georgia,34301,United Bank,2008-12-05,10025
Sanderson State Bank,Sanderson,Texas,11568,The Pecos County State Bank,2008-12-12,10026
Haven Trust Bank,Duluth,Georgia,35379,"Branch Banking & Trust Company, (BB&T)",2008-12-12,10027
National Bank of Commerce,Berkeley,Illinois,19733,Republic Bank of Chicago,2009-01-16,10028
Bank of Clark County,Vancouver,Washington,34959,Umpqua Bank,2009-01-16,10029
1st Centennial Bank,Redlands,California,33025,First California Bank,2009-01-23,10030
Suburban Federal Savings Bank,Crofton,Maryland,30763,Bank of Essex,2009-01-30,10033
MagnetBank,Salt Lake City,Utah,58001,No Acquirer,2009-01-30,10031
Ocala National Bank,Ocala,Florida,26538,"CenterState Bank of Florida, N.A.",2009-01-30,10032
County Bank,Merced,California,22574,Westamerica Bank,2009-02-06,10034
Alliance Bank,Culver City,California,23124,California Bank & Trust,2009-02-06,10035
FirstBank Financial Services,McDonough,Georgia,57017,Regions Bank,2009-02-06,10036
Corn Belt Bank and Trust Company,Pittsfield,Illinois,16500,The Carlinville National Bank,2009-02-13,10037
Riverside Bank of the Gulf Coast,Cape Coral,Florida,34563,TIB Bank,2009-02-13,10038
Sherman County Bank,Loup City,Nebraska,5431,Heritage Bank,2009-02-13,10039
Pinnacle Bank,Beaverton,Oregon,57342,Washington Trust Bank of Spokane,2009-02-13,10040
Silver Falls Bank,Silverton,Oregon,35399,Citizens Bank,2009-02-20,10041
Security Savings Bank,Henderson,Nevada,34820,Bank of Nevada,2009-02-27,10043
Heritage Community Bank,Glenwood,Illinois,20078,"MB Financial Bank, N.A.",2009-02-27,10042
Freedom Bank of Georgia,Commerce,Georgia,57558,Northeast Georgia Bank,2009-03-06,10044
Colorado National Bank,Colorado Springs,Colorado,18896,Herring Bank,2009-03-20,10045
"TeamBank, N.A.",Paola,Kansas,4754,Great Southern Bank,2009-03-20,10046
FirstCity Bank,Stockbridge,Georgia,18243,No Acquirer,2009-03-20,10047
Omni National Bank,Atlanta,Georgia,22238,No Acquirer,2009-03-27,10048
New Frontier Bank,Greeley,Colorado,34881,No Acquirer,2009-04-10,10050
Cape Fear Bank,Wilmington,North Carolina,34639,First Federal Savings and Loan Association,2009-04-10,10049
Great Basin Bank of Nevada,Elko,Nevada,33824,Nevada State Bank,2009-04-17,10051
American Sterling Bank,Sugar Creek,Missouri,8266,Metcalf Bank,2009-04-17,10052
American Southern Bank,Kennesaw,Georgia,57943,Bank of North Georgia,2009-04-24,10053
First Bank of Beverly Hills,Calabasas,California,32069,No Acquirer,2009-04-24,10054
First Bank of Idaho,Ketchum,Idaho,34396,"U.S. Bank, N.A.",2009-04-24,10055
Michigan Heritage Bank,Farmington Hills,Michigan,34369,Level One Bank,2009-04-24,10056
America West Bank,Layton,Utah,35461,Cache Valley Bank,2009-05-01,10057
Citizens Community Bank,Ridgewood,New Jersey,57563,North Jersey Community Bank,2009-05-01,10058
"Silverton Bank, NA",Atlanta,Georgia,26535,No Acquirer,2009-05-01,10059
Westsound Bank,Bremerton,Washington,34843,Kitsap Bank,2009-05-08,10060
"BankUnited, FSB",Coral Gables,Florida,32247,BankUnited,2009-05-21,10061
Citizens National Bank,Macomb,Illinois,5757,Morton Community Bank,2009-05-22,10063
Strategic Capital Bank,Champaign,Illinois,35175,Midland States Bank,2009-05-22,10062
Bank of Lincolnwood,Lincolnwood,Illinois,17309,Republic Bank of Chicago,2009-06-05,10064
Cooperative Bank,Wilmington,North Carolina,27837,First Bank,2009-06-19,10065
First National Bank of Anthony,Anthony,Kansas,4614,Bank of Kansas,2009-06-19,10066
Southern Community Bank,Fayetteville,Georgia,35251,United Community Bank,2009-06-19,10067
Mirae Bank,Los Angeles,California,57332,Wilshire State Bank,2009-06-26,10072
MetroPacific Bank,Irvine,California,57893,Sunwest Bank,2009-06-26,10071
Horizon Bank,Pine City,Minnesota,9744,"Stearns Bank, N.A.",2009-06-26,10070
Neighborhood Community Bank,Newnan,Georgia,35285,CharterBank,2009-06-26,10069
Community Bank of West Georgia,Villa Rica,Georgia,57436,No Acquirer,2009-06-26,10068
The Elizabeth State Bank,Elizabeth,Illinois,9262,Galena State Bank and Trust Company,2009-07-02,10073
Founders Bank,Worth,Illinois,18390,The PrivateBank and Trust Company,2009-07-02,10074
Rock River Bank,Oregon,Illinois,15302,The Harvard State Bank,2009-07-02,10075
The John Warner Bank,Clinton,Illinois,12093,State Bank of Lincoln,2009-07-02,10076
First State Bank of Winchester,Winchester,Illinois,11710,The First National Bank of Beardstown,2009-07-02,10077
First National Bank of Danville,Danville,Illinois,3644,"First Financial Bank, N.A.",2009-07-02,10078
Millennium State Bank of Texas,Dallas,Texas,57667,State Bank of Texas,2009-07-02,10079
Bank of Wyoming,Thermopolis,Wyoming,22754,Central Bank & Trust,2009-07-10,10080
Temecula Valley Bank,Temecula,California,34341,First-Citizens Bank & Trust Company,2009-07-17,10082
"Vineyard Bank, National Association",Rancho Cucamonga,California,23556,California Bank & Trust,2009-07-17,10083
First Piedmont Bank,Winder,Georgia,34594,First American Bank and Trust Company,2009-07-17,10084
BankFirst,Sioux Falls,South Dakota,34103,"Alerus Financial, N.A.",2009-07-17,10081
Waterford Village Bank,Williamsville,New York,58065,"Evans Bank, N.A.",2009-07-24,10091
Security Bank of North Metro,Woodstock,Georgia,57105,State Bank and Trust Company,2009-07-24,10090
Security Bank of North Fulton,Alpharetta,Georgia,57430,State Bank and Trust Company,2009-07-24,10089
Security Bank of Gwinnett County,Suwanee,Georgia,57346,State Bank and Trust Company,2009-07-24,10086
Security Bank of Houston County,Perry,Georgia,27048,State Bank and Trust Company,2009-07-24,10087
Security Bank of Jones County,Gray,Georgia,8486,State Bank and Trust Company,2009-07-24,10088
Security Bank of Bibb County,Macon,Georgia,27367,State Bank and Trust Company,2009-07-24,10085
First State Bank of Altus,Altus,Oklahoma,9873,Herring Bank,2009-07-31,10093
Mutual Bank,Harvey,Illinois,18659,United Central Bank,2009-07-31,10094
Integrity Bank,Jupiter,Florida,57604,Stonegate Bank,2009-07-31,10095
Peoples Community Bank,West Chester,Ohio,32288,"First Financial Bank, N.A.",2009-07-31,10096
First BankAmericano,Elizabeth,New Jersey,34270,Crown Bank,2009-07-31,10097
First State Bank,Sarasota,Florida,27364,"Stearns Bank, N.A.",2009-08-07,10098
Community National Bank of Sarasota County,Venice,Florida,27183,"Stearns Bank, N.A.",2009-08-07,10099
Community First Bank,Prineville,Oregon,23268,Home Federal Bank,2009-08-07,10092
Community Bank of Nevada,Las Vegas,Nevada,34043,No Acquirer,2009-08-14,10100
Community Bank of Arizona,Phoenix,Arizona,57645,MidFirst Bank,2009-08-14,10101
"Union Bank, National Association",Gilbert,Arizona,34485,MidFirst Bank,2009-08-14,10102
Colonial Bank,Montgomery,Alabama,9609,"Branch Banking & Trust Company, (BB&T)",2009-08-14,10103
Dwelling House Savings and Loan Association,Pittsburgh,Pennsylvania,31559,"PNC Bank, N.A.",2009-08-14,10104
First Coweta Bank,Newnan,Georgia,57702,United Bank,2009-08-21,10108
CapitalSouth Bank,Birmingham,Alabama,22130,IBERIABANK,2009-08-21,10106
ebank,Atlanta,Georgia,34682,"Stearns Bank, N.A.",2009-08-21,10107
Guaranty Bank,Austin,Texas,32618,BBVA Compass,2009-08-21,10105
Bradford Bank,Baltimore,Maryland,28312,Manufacturers and Traders Trust Company (M&T Bank),2009-08-28,10109
Affinity Bank,Ventura,California,27197,Pacific Western Bank,2009-08-28,10110
Mainstreet Bank,Forest Lake,Minnesota,1909,Central Bank,2009-08-28,10111
First Bank of Kansas City,Kansas City,Missouri,25231,Great American Bank,2009-09-04,10112
InBank,Oak Forest,Illinois,20203,"MB Financial Bank, N.A.",2009-09-04,10113
First State Bank,Flagstaff,Arizona,34875,Sunwest Bank,2009-09-04,10114
Platinum Community Bank,Rolling Meadows,Illinois,35030,No Acquirer,2009-09-04,10115
Vantus Bank,Sioux City,Iowa,27732,Great Southern Bank,2009-09-04,10116
Venture Bank,Lacey,Washington,22868,First-Citizens Bank & Trust Company,2009-09-11,10119
